[2024-02-29 09:34:48]|||{"logger":"i.l.core.protocol.ConnectionWatchdog", "thread":"lettuce-eventExecutorLoop-1-5", "msg":"Reconnecting, last destination was 192.168.189.128:6379"}
[2024-02-29 09:34:49]|||{"logger":"i.l.core.protocol.ConnectionWatchdog", "thread":"lettuce-nioEventLoop-4-1", "msg":"Cannot reconnect to [192.168.189.128:6379]: No route to host: no further information: /192.168.189.128:6379"}
io.netty.channel.AbstractChannel$AnnotatedNoRouteToHostException: No route to host: no further information: /192.168.189.128:6379
Caused by: java.net.NoRouteToHostException: No route to host: no further information
	at sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
	at sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:717)
	at io.netty.channel.socket.nio.NioSocketChannel.doFinishConnect(NioSocketChannel.java:337)
	at io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe.finishConnect(AbstractNioChannel.java:334)
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:776)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:724)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:650)
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:562)
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:997)
	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:745)
[2024-02-29 09:34:57]|||{"logger":"i.l.c.protocol.ReconnectionHandler", "thread":"lettuce-nioEventLoop-4-2", "msg":"Reconnected to 192.168.189.128:6379"}
[2024-02-29 10:20:33]|||{"logger":"c.c.blog.common.util.JwtTokenUtil", "thread":"http-nio-0.0.0.0-8080-exec-1", "msg":"JWT格式验证失败:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJhZG1pbiIsImNyZWF0ZSI6MTcwOTExMzY5MzIwMCwiZXhwIjoxNzA5MTE1NDkzfQ.d-9VFFVb0uRaz9q_MUxzWQdsOZ7BbAQNWf4kcROZg9gIU-nrvtD7bCx3NsPXMJlO9b4m87j8nTleoGCCX1QptA"}
